position dont feel like it,Negative,1
dont feel it,Positive,3
not all people,Neutral,2
same,Neutral,2
none,Neutral,2
computer doesnt bother him,Neutral,2
might have trouble to remember when,Neutral,2
remember how need to concentrate,Neutral,2
dr time is short computer has reminders to help eplain dr looks at me like what are you rying to say,Negative,1
BOTH CIRCUMSTANCES ARE EASILY NAVIGATED WITHOUT RUSHING,Negative,1
new tome room in the house,Neutral,2
somewhat,Neutral,2
wouldd not toonsqer so many questiins,Negative,1
ble or pink,Neutral,2
tires focus,Neutral,2
tiring,Neutral,2
scared-don't use computers,Neutral,2
as long as someone else is using the computer it's fine--I do not want to communicate to my doctor on a computer,Negative,1
punching data in,Neutral,2
need to apply more pressure,Neutral,2
gives me something to do instead of just talking to ohers  drawing it takes your mind off it,Neutral,2
have not used commputer,Neutral,2
this prefers to talk,Neutral,2
no,Negative,1
easy but hard with pain,Negative,1
while sick do not like to read,Negative,1
good program,Positive,3
ery,Neutral,2
must hit hard be viscious,Neutral,2
cn talkor communicate with computer maybe he would respond,Negative,1
blue,Neutral,2
no,Negative,1
fatigue,Neutral,2
blue,Neutral,2
keep on doing it,Neutral,2
i do not know,Neutral,2
i use a computrt but may be easier to talk about it,Neutral,2
blue,Neutral,2
time to form complete responses explaining all my symptoms and issues,Neutral,2
doesnt matter,Neutral,2
some of them,Neutral,2
sometimnes styylus diffficultt,Neutral,2
no,Negative,1
never used unable to concentrate,Negative,1
blue,Neutral,2
hard to focus,Negative,1
dont know,Neutral,2
never used unable to concentrate,Negative,1
blue,Neutral,2
hard to focus,Negative,1
not all can use this,Negative,1
purple,Neutral,2
mostly easy,Neutral,2
was my first timt taping on screen,Neutral,2
feel rushed with computer,Negative,1
should be for those who want it; I like speaking for myself,Negative,1
drawing difficult finger touches screen,Neutral,2
dr more rushed in a hurry to get out,Negative,1
I WOULD RATHER TALK TO A MACHINE IT DOESN'T GET UP AND WALK AWAY FROM YOU,Negative,1
eyes concentrating,Neutral,2
drawing hard,Neutral,2
dont know never used one  hard to concentrate,Negative,1
all right for some not everyone,Neutral,2
hard to concentrate,Neutral,2
no; does not ask what type of pain you have focuses on level,Negative,1
just to use,Neutral,2
takes too long,Negative,1
no,Negative,1
none,Neutral,2
too tired never used them,Negative,1
eberfyblow,Neutral,2
ask me to tell you I know more than the coimputer,Neutral,2
I am comfortable using this,Positive,3
none,Neutral,2
either one is ok talking to dr is more personal,Neutral,2
sometimes people in pain cannot talk and pressing a button to tell the dr in his office he would know the number of pain.  If I press 8 for miss parker the dr would know the urgency. So I think computer is good for patients at bedside.,Negative,1
HARD TO REMEMBE,Neutral,2
REMEMBER,Neutral,2
NEED ASSISTANCE,Neutral,2
I feel more rushed talking to doctor,Negative,1
not today but maybe later,Neutral,2
none; too uncomfortable,Negative,1
stlu8s doesnt always work have to tap more then once,Positive,3
done it before,Neutral,2
no not yet,Neutral,2
too tired,Negative,1
to much o understand,Neutral,2
too tired,Negative,1
i like this better,Neutral,2
I think it is great,Positive,3
point and touch prob lem with depth perception,Positive,3
did not feel rushed; doin it myself,Negative,1
I like using computer AND telling doctor about my pain.  I think having a computer is very helpful;  I would like to report your pain as it happens on a daily basis. I would like someone to know it changes over 24 hours.,Negative,1
some of the questions were hard to understand,Negative,1
no; for me this worked out pretty well.,Negative,1
understanding  what i read,Neutral,2
not much schooling,Negative,1
no strength,Neutral,2
people need help,Neutral,2
It is good,Positive,3
none,Neutral,2
too sick at times,Negative,1
slower,Neutral,2
some folks need help dailoy,Neutral,2
"With this I have time to think. Doctors want snap answers,Positive,3
no",Neutral,2
stluss moves too quick,Negative,1
cannot type well; eliminate typing;,Negative,1
afraid,Neutral,2
dont feel like it,Positive,3
no one rushes me,Negative,1
"cant remeber direction,Neutral,2
marjorie helps,Neutral,2
I have to think about it quicker but it is easier and fast,Neutral,2
god to havein the home",Positive,3
none,Neutral,2
my concentration,Neutral,2
hard to focus,Negative,1
hard to understand,Neutral,2
have someone assist the patient always,Neutral,2
no,Negative,1
never used before and not familiar,Negative,1
not really,Neutral,2
It should be used on a regular basis. It is like a friend,Neutral,2
remembering how,Neutral,2
none,Neutral,2
not in the mood feeling ill frustrated cannot concentrate,Negative,1
using the pen,Neutral,2
not responding to the touch.,Negative,1
none,Neutral,2
make the computer more user freindly.,Neutral,2
did not use it,Neutral,2
Once I learned what stuff meant it was easy.,Neutral,2
I can have better verbiage to use with my doctor and nurses,Negative,1
I can take my time and I don't feel stressed out.,Positive,3
just because you are talking to the computer;does not meanthat you don't want to talk to people; you get lonely,Negative,1
USING STYLUS; STYLUS DIDN'T ALWAYS MATCH WITH WHAT SHOWED ONSCREEN,Negative,1
SOMETIMES; MOSTLY BECAUSE OF INFORMATION OVERLOAD,Negative,1
Word could be slightly larger,Neutral,2
the touch screen was sensitive and if my hand or thumb slipped onto the screen I could not record my choices,Neutral,2
some what,Neutral,2
as I get use to the computer it would be easier,Negative,1
Good idea,Positive,3
Either way would do.,Neutral,2
sometimes it was hard to use the stylet,Negative,1
this is a great way to check on the scale of pain for both you and i,Positive,3
with numbness in the hand it was difficult to use the touch sceen,Negative,1
pen pressure was a problem,Neutral,2
it allows you to record things as you remember so you don't forget to tell the doctor,Positive,3
daily you keep for the nurse to review,Neutral,2
it was easy to use.,Positive,3
IT WOULD BE BETTER IF USED DIRECTLY BY THE DOCTOR,Negative,1
IT SHOULD BE AVAILABLE TO ALL HOSPICE PATIENTS TO HELP WITH THEIR PAIN MANAGEMENT,Negative,1
ambiguty of some questions.,Neutral,2
steve is great,Positive,3
drawing on the computer was hard,Neutral,2
drawing on the computer was hard; screen sensativity,Neutral,2
why does it have to be orange,Neutral,2
except when it came to drawing,Neutral,2
touch screen sensativity is off,Neutral,2
had to touch it multiple time to get the right answer,Positive,3
medical condition made it hard,Neutral,2
excessage verbage could be removed,Neutral,2
This is very helpful; especially if no one is around at least you can report it here.,Positive,3
I am computer illiterate.,Neutral,2
because of not being use to using a computer,Neutral,2
I am computer illiterate.,Neutral,2
because of not being use to using a computer,Neutral,2
too shaky so I needed assistance,Negative,1
shakiness of hand made it difficult to mark the answers that I wanted,Negative,1
its actually pretty good and helpful right now but lay people will probably bbenefit more by using simpler terms,Positive,3
some were them were a bit confusing and it took some time to figure them out; the difference between directions and statements,Negative,1
It is hard for me to gage a 5 or 10 because my pain changes so frequently.,Negative,1
touch screen was somewhat do to shakes,Positive,3
hand shakes,Neutral,2
color is fine,Positive,3
this way was fine,Positive,3
drawing on the screen,Neutral,2
make it assessable to everybody,Neutral,2
Trouble with the stylis in drawing,Neutral,2
sometimes trouble with touching the screen and marking the answer,Positive,3
not familiar with computers; can't type or use stylis,Negative,1
Struggled with the logic and sequence of activities,Neutral,2
Blue,Neutral,2
because it was a touch screen,Positive,3
keep the good work up with the computer; you created a beautiful thing; thanks,Very positive,4
too long,Negative,1
I have none.,Neutral,2
medical conditions that require to be laying down most of the time,Neutral,2
Unable to draw  on the diagram with out more practice; shake to much and screen to sensitve so that drawing could not be completed without assistance,Negative,1
none,Neutral,2
questions are too long; surveys are too long,Negative,1
not being use to it,Neutral,2
mose training,Neutral,2
"first time I used something like this,Positive,3
",Neutral,2
i say whats on my mind,Neutral,2
none,Neutral,2
first time to use a computer,Neutral,2
some of the questions should be reworded to be more understable; ie question of "enjoyment",Negative,1
needed assistance in drawing the diagram,Neutral,2
drawing on the screen,Neutral,2
blue,Neutral,2
I feel more rushed talking in person. I perfer  this means of communication,Negative,1
When the program is finished we are given a personal computer to keep for the rest of our stay in Hospice.,Neutral,2
"don't want to use a coomputer,Neutral,2
",Neutral,2
who am I to say if people should have access to computer to report pain; I rather call my doctor to report my pain over the phone,Negative,1
drawing was difficult; touching the screen with my thumb while I was holding it; emotionally I do not not want to use one due to associations that I have,Negative,1
drawing on the screen was difficult,Neutral,2
The computer is okay; but I am not interested in using one.  I prefer to talk with people.,Negative,1
Just a feeling I had,Neutral,2
It's very helpful to be able to express your feelings totally about your pain.,Negative,1
there is a limit to how much time you can take to describe things.,Negative,1
more words in some categories to describe things.,Neutral,2
Afraid to try using it; I am just too nervous.,Negative,1
Screen to sensative,Neutral,2
Too sensative in the drawing,Neutral,2
I'd rather talk than use a computer,Neutral,2
Working on the computer is a little hard on older people.  It might be difficult for people who are not familiar with computers and using it depends on how sick you are.,Negative,1
none,Neutral,2
hard to hold on to pen; but finger worked,Negative,1
no; just something new,Negative,1
yes and know because you have to be careful about not touching the screen when you are holding it,Neutral,2
needed help drawing pain sites and typing,Neutral,2
I enjoyed using this computer.,Positive,3
some blurred vision made it difficult and I had some help,Negative,1
I think the questions have been helpful.,Negative,1
in the beginning,Neutral,2
Sometimes my fingers on the screen interfers with the touch screen.,Positive,3
Green,Neutral,2
Speaking comes natural to me and this method was equally as comforting.,Positive,3
it was easy and helpful,Positive,3
blue,Neutral,2
none,Neutral,2
new to  learn,Neutral,2
hard to type due to numbness in my fingers,Negative,1
I don't like the orange; it is harder for me to see in the orange,Negative,1
some what; I had to told and stop and think,Neutral,2
How long was pain controlled - the wording was confusing.,Negative,1
