este.programa.es.perferto.,Neutral,2
escribir,Neutral,2
esta bueno,Neutral,2
no se usarla;nunca la he usado antes.,Negative,1
no poder escojer la respuesta,Negative,1
el palo no escojia la respuesta,Negative,1
pudimos contestar con calma,Neutral,2
traducir mejor las palabras a describir el dolor,Negative,1
Esta bien,Neutral,2
no puedo usar este computadora entonces mi esposa me ayudar,Negative,1
CON ESO PROGRAMA MAS O MENOS DE ACUERDO,Negative,1
creo que este programa esta bien pero creo que necesitan menos preguntas y preguntas mas claro,Negative,1
yo creo que esta bien; pero algunas personas tienen vista mal y le gustan la palabra mas grande,Negative,1
exelente  gracias,Neutral,2
pues; todos las preguntas que mecierdo esta todo bien,Negative,1
recommendo que esto programo for other patidnts so thst the nurse/doctor knows how much pain everone has,Negative,1
