seste.programa.es.perferto.,Neutral,2
esta bueno,Neutral,2
Esta bien,Neutral,2
I feel rushed because CON ESO PROGRAMA MAS O MENOS DE ACUERDO,Negative,1
creo que este programa esta bien pero creo que necesitan menos preguntas y preguntas mas claro,Negative,1
yo creo que esta bien; pero algunas personas tienen vista mal y le gustan la palabra mas grande,Negative,1
exelente  gracias,Neutral,2
The computer was hard because escribir,Neutral,2
The computer was hard because no poder escojer la respuesta,Negative,1
The touch screen was hard because el palo no escojia la respuesta,Negative,1
I feel rushed because pudimos contestar con calma,Negative,1
traducir mejor las palabras a describir el dolor,Negative,1
The computer was hard because no puedo usar este computadora entonces mi esposa me ayudar,Negative,1
I feel rushed because pues; todos las preguntas que mecierdo esta todo bien,Negative,1
recommendo que esto programo for other patidnts so thst the nurse/doctor knows how much pain everone has,Negative,1
The computer was hard because no se usarla;nunca la he usado antes.,Negative,1
